_row,new_split
52039,train
52040,val
52044,train
52045,val
52047,train
52050,val
52053,val
52054,train
52057,val
52058,train
52059,val
52062,train
52063,train
52065,val
52068,train
52070,val
52073,train
52074,val
52076,train
52078,val
52081,train
52082,val
52083,train
52086,val
52087,val
52089,train
52093,train
52094,val
52095,val
52097,train
52100,val
52102,train
52104,train
52105,val
52107,val
52110,train
52111,val
52113,train
52115,train
52118,val
52119,train
52120,val
52123,val
52126,train
52128,train
52130,val
52131,val
52133,train
52136,train
52138,val
52139,train
52142,val
52143,train
52146,val
52147,val
52148,train
52151,val
52153,train
52155,val
52156,train
52160,val
52162,train
52163,train
52165,val
52167,train
52169,val
52171,train
52172,val
52177,train
52178,val
52179,train
52181,val
52183,train
52185,val
52188,val
52190,train
52192,train
52193,val
52196,val
52202,val
52204,val
52207,val
52213,val
52217,val
52220,val
52224,val
52227,val
52234,val
52236,val
52239,val
52245,val
52247,val
52251,val
148366,train
148370,train
148376,train
148381,train
148385,train
148387,train
148388,train
148390,train
148393,train
148396,train
148397,train
148398,train
148401,train
148403,train
148404,train
148407,train
148409,train
148411,train
148413,train
148414,train
148416,train
148418,train
148419,train
148423,train
148425,train
148426,train
148429,train
148432,train
148433,train
148435,train
148436,train
148438,train
148441,train
148442,train
148445,train
148446,train
148449,train
148451,train
148452,train
148454,train
148456,train
148458,train
148460,train
148462,train
148463,train
148468,train
148469,train
148470,train
148473,train
148475,train
148477,train
148478,train
148481,train
148483,train
148485,train
148487,train
148488,train
148490,train
148492,train
148495,train
148497,train
148499,train
148501,train
148502,train
148504,train
148506,train
148507,train
148510,train
148512,train
148514,train
148517,train
148519,train
148521,train
148522,train
148523,train
148528,train
148529,train
148531,train
148533,train
148536,train
148537,train
148538,train
148539,train
148542,train
148544,train
148548,train
148549,train
148551,train
148553,train
148554,train
148555,train
148559,train
148561,train
148563,train
148564,train
148566,train
148567,train
148570,train
148573,train
148574,train
148575,train
148579,train
148580,train
148583,train
148585,train
148588,train
148589,train
148590,train
148593,train
148596,train
148597,train
148598,train
148601,train
148602,train
148603,train
148606,train
148608,train
148612,train
148613,train
148616,train
148617,train
148618,train
148619,train
148623,train
148624,train
148628,train
148629,train
148632,train
148633,train
148635,train
148637,train
148639,train
148641,train
148644,train
148645,train
148646,train
148648,train
148650,train
148651,train
148654,train
148657,train
148660,train
148661,train
148663,train
148665,train
148666,train
148668,train
148670,train
148671,train
148675,train
148677,train
148678,train
148681,train
148683,train
148684,train
148687,train
148688,train
148691,train
148693,train
148695,train
148697,train
148699,train
148701,train
148702,train
148704,train
148706,train
148708,train
148711,train
148713,train
148714,train
148716,train
148720,train
148721,train
148723,train
148724,train
148726,train
148727,train
148730,train
148733,train
148735,train
148736,train
148738,train
148739,train
148742,train
148745,train
148747,train
148748,train
148751,train
148752,train
148756,train
148757,train
148759,train
148761,train
148763,train
148764,train
148767,train
148768,train
148770,train
148771,train
148776,train
148777,train
148779,train
148781,train
148783,train
148784,train
148787,train
148788,train
148791,train
148792,train
148795,train
148796,train
148800,train
148801,train
148802,train
148805,train
148808,train
148809,train
148811,train
148813,train
148816,train
148817,train
148818,train
148819,train
148822,train
148823,train
148826,train
148827,train
148830,train
148831,train
148834,train
148837,train
148839,train
148840,train
148842,train
148843,train
148846,train
148848,train
148850,train
148853,train
148855,train
148856,train
148858,train
148861,train
148862,train
148864,train
148866,train
148869,train
148870,train
148873,train
148876,train
148877,train
148879,train
148880,train
148883,train
148884,train
148886,train
148888,train
148891,train
148893,train
148894,train
148896,train
148898,train
148899,train
148903,train
148905,train
148908,train
148909,train
148911,train
148913,train
148914,train
148917,train
148919,train
148921,train
148923,train
148925,train
148927,train
148929,train
148930,train
148932,train
148934,train
148935,train
148939,train
148941,train
148943,train
148944,train
148946,train
148947,train
148951,train
148953,train
148956,train
148957,train
148959,train
148961,train
148962,train
148965,train
148966,train
148969,train
148970,train
148972,train
148974,train
148975,train
148978,train
148980,train
148982,train
148983,train
148986,train
148988,train
148991,train
148992,train
148996,train
148997,train
148999,train
149001,train
149004,train
149005,train
149007,train
149008,train
149011,train
149012,train
149016,train
149017,train
149018,train
149020,train
149022,train
149025,train
149028,train
149029,train
149032,train
149033,train
149035,train
149036,train
149038,train
149040,train
149043,train
149044,train
149048,train
149049,train
149052,train
149053,train
149054,train
149055,train
149058,train
149060,train
149063,train
149065,train
149068,train
149069,train
149071,train
149072,train
149075,train
149076,train
149080,train
149081,train
149083,train
149084,train
149086,train
149088,train
149091,train
149092,train
149095,train
149096,train
149099,train
149101,train
149103,train
149104,train
149107,train
149108,train
149112,train
149113,train
149114,train
149117,train
149120,train
149121,train
149122,train
149124,train
149128,train
149132,train
149135,train
149139,train
149142,train
149147,train
149150,train
166218,train
137476,train
168832,train
24334,val
98316,train
137525,train
137540,train
24373,val
183289,val
98298,train
168778,train
123913,val
86011,train
24242,train
111333,val
123976,train
137477,train
24322,train
137586,train
137488,train
24174,val
137568,train
198293,train
86094,train
175835,train
183297,val
168760,train
24240,val
24402,val
73766,train
123898,val
168807,train
9796,train
24348,val
86023,train
73835,train
137585,train
123832,val
168664,train
183317,val
39411,train
39417,train
39419,train
39425,train
39428,train
39432,train
39438,train
39441,train
39443,train
39448,train
39450,train
39451,train
39453,train
39455,train
39457,train
39459,train
39460,train
39464,train
39465,train
39467,train
39469,train
39471,train
39472,train
39475,train
39477,train
39479,train
39481,train
39483,train
39485,train
39488,train
39489,train
39491,train
39492,train
39495,train
39500,train
39503,train
39507,train
39512,train
39515,train
55466,train
55473,train
55475,train
55480,train
55482,train
55487,train
55491,train
55494,train
55501,train
55504,train
55507,train
55512,train
55515,train
55520,train
55522,train
55528,train
55530,train
55537,train
55541,train
55545,train
55548,train
55551,train
55555,train
55560,train
55565,train
55569,train
55570,train
55574,train
55578,train
55582,train
55586,train
55593,train
55595,train
55600,train
55602,train
55607,train
55610,train
55615,train
55617,train
55618,train
55619,train
55622,train
55624,train
55626,train
55627,train
55630,train
55631,train
55636,train
55637,train
55639,train
55640,train
55642,train
55645,train
55646,train
55648,train
55650,train
55652,train
55655,train
55657,train
55658,train
55661,train
55663,train
55664,train
55666,train
55669,train
55672,train
55673,train
55674,train
55676,train
55680,train
55681,train
55684,train
55685,train
55686,train
55692,train
55696,train
55700,train
55705,train
55709,train
55712,train
55715,train
55720,train
55722,train
55727,train
55731,train
55736,train
152299,train
152305,train
152306,train
152313,train
152314,train
152320,train
152322,val
152323,train
152326,val
152328,train
152331,val
152332,train
152334,val
152335,train
152338,train
152339,val
152342,val
152343,train
152346,train
152349,val
152350,val
152351,train
152354,train
152355,val
152358,train
152360,val
152362,val
152364,train
152368,train
152369,val
152370,val
152373,train
152374,train
152375,val
152378,val
152381,train
152382,val
152385,train
152386,val
152389,train
152390,train
152391,val
152396,val
152397,train
152399,train
152401,val
152404,val
152405,train
152406,train
152408,val
152410,train
152412,val
152415,train
152416,val
152419,val
152421,train
152424,train
152425,val
152427,train
152429,val
152430,val
152433,train
152435,val
152437,train
152438,train
152439,val
152444,train
152445,val
152446,val
152449,train
152450,train
152451,val
152454,val
152456,train
152458,val
152459,train
152463,train
152464,val
152467,train
152469,val
152471,train
152473,val
152475,train
152476,val
152478,train
152481,val
152483,val
152485,train
152487,train
152489,val
152490,val
152492,train
152494,train
152495,val
152498,train
152501,val
152504,val
152509,val
152512,val
152516,val
152519,val
152524,val
152527,val
152530,val
152536,val
204915,train
204916,train
204919,train
204921,train
204923,train
204925,train
204927,train
204929,train
204931,train
204933,train
204935,train
204937,train
204939,train
204941,train
204943,train
204945,train
204946,train
204949,train
204951,train
204952,train
204954,train
204956,train
204959,train
204960,train
204962,train
198230,train
198246,train
24134,train
85866,train
85876,train
111155,val
73719,train
137394,train
24100,train
24200,train
24156,val
73606,train
24160,train
39288,val
123667,train
24193,train
9473,train
175704,train
39234,val
137322,train
111168,val
24141,val
183243,val
175685,train
168407,val
9659,train
111185,val
9661,train
111224,val
9510,train
175774,train
183259,val
39275,val
137386,train
168425,val
39235,val
168639,val
137408,train
9491,train
123632,train
39374,train
39376,train
39377,train
39379,train
39380,train
39385,train
39386,train
39387,train
39389,train
39392,train
39394,train
39395,train
39398,train
39400,train
39402,train
39405,train
39406,train
39407,train
39408,train
39414,train
39415,train
39421,train
39426,train
39427,train
39434,train
39436,train
39442,train
39444,train
55335,train
55339,train
55342,train
55346,train
55353,train
55357,train
55359,train
55365,train
55369,train
55370,train
55373,train
55374,train
55376,train
55378,train
55381,train
55383,train
55384,train
55386,train
55389,train
55390,train
55393,train
55394,train
55396,train
55398,train
55399,train
55403,train
55404,train
55406,train
55407,train
55411,train
55413,train
55414,train
55416,train
55418,train
55420,train
55424,train
55425,train
55426,train
55428,train
55431,train
55432,train
55434,train
55436,train
55440,train
55441,train
55442,train
55445,train
55446,train
55448,train
55451,train
55452,train
55456,train
55457,train
55459,train
55460,train
55462,train
55464,train
55469,train
55472,train
55474,train
55481,train
55484,train
55489,train
55493,train
55495,train
55499,train
55503,train
55506,train
55513,train
55517,train
55521,train
55525,train
55529,train
55532,train
55534,train
55538,train
55543,train
55546,train
55550,train
55556,train
55559,train
55564,train
55566,train
55572,train
55577,train
55581,train
55583,train
55587,train
55592,train
55596,train
55599,train
55605,train
55609,train
55613,train
152171,train
152175,train
152178,train
152182,train
152186,train
152193,train
152195,train
152201,train
152205,train
152208,train
152211,train
152214,train
152217,val
152219,val
152220,train
152222,train
152223,val
152226,train
152227,val
152231,val
152232,train
152234,val
152236,train
152239,train
152241,val
152243,val
152244,train
152246,val
152249,train
152252,val
152253,train
152254,train
152256,val
152258,val
152259,train
152262,train
152263,val
152266,val
152267,train
152270,train
152272,val
152275,train
152277,val
152278,train
152279,val
152283,train
152284,val
152286,train
152288,val
152292,train
152293,val
152294,train
152297,val
152298,val
152303,val
152309,val
152310,val
152316,val
152321,val
204869,train
204870,train
204872,train
204874,train
204876,train
204879,train
204880,train
204882,train
204885,train
204886,train
204889,train
204891,train
204892,train
204894,train
204897,train
204898,train
204901,train
204903,train
204904,train
204906,train
204909,train
204910,train
204913,train
166283,train
168921,train
98397,train
166293,train
73822,train
24507,train
168888,train
124036,train
137643,train
175893,train
123959,val
9820,train
24416,val
98439,train
9869,train
24494,train
124011,train
24491,val
9879,train
24461,val
24477,train
24526,train
124045,train
98443,train
73839,train
86220,train
74003,train
124049,train
124029,train
24435,val
111527,val
24411,val
137700,train
166298,train
111495,val
137624,train
175898,train
137710,train
198320,train
111545,val
39496,train
39502,train
39506,train
39510,train
39514,train
39518,train
39520,train
39521,train
39524,train
39526,train
39529,train
39530,train
39531,train
39534,train
39535,train
39538,train
39541,train
39542,train
39545,train
39546,train
39547,train
39548,train
39551,train
39552,train
39556,train
39557,train
39559,train
39561,train
39563,train
39565,train
39567,train
39570,train
39574,train
39578,train
39582,train
39586,train
39590,train
39591,train
55687,train
55693,train
55697,train
55698,train
55702,train
55706,train
55710,train
55716,train
55719,train
55725,train
55728,train
55730,train
55734,train
55738,train
55745,train
55748,train
55749,train
55751,train
55753,train
55756,train
55757,train
55758,train
55760,train
55763,train
55764,train
55767,train
55768,train
55770,train
55773,train
55774,train
55776,train
55780,train
55781,train
55784,train
55785,train
55786,train
55788,train
55792,train
55793,train
55794,train
55795,train
55798,train
55799,train
55802,train
55803,train
55808,train
55809,train
55811,train
55813,train
55817,train
55818,train
55823,train
55826,train
55831,train
55834,train
55839,train
55843,train
55848,train
55850,train
55856,train
55858,train
55865,train
152502,train
152507,train
152511,train
152514,train
152518,train
152523,train
152529,train
152532,train
152534,train
152540,train
152541,val
152544,train
152545,val
152546,val
152547,train
152551,val
152552,train
152556,train
152557,val
152560,train
152561,val
152562,val
152565,train
152567,train
152569,val
152571,train
152573,val
152574,train
152577,val
152578,train
152579,val
152583,train
152585,val
152586,val
152587,train
152590,val
152591,train
152594,train
152595,val
152599,val
152600,train
152603,train
152604,val
152607,train
152608,val
152610,train
152611,val
152616,train
152617,val
152620,train
152621,val
152622,train
152624,val
152626,val
152629,train
152631,val
152632,train
152636,val
152637,train
152639,val
152641,train
152644,val
152645,train
152648,val
152649,train
152652,val
152653,train
152655,train
152657,val
152658,train
152659,val
152662,val
152664,train
152668,train
152669,val
152670,val
152676,val
152681,val
152685,val
152686,val
152692,val
152697,val
152699,val
152703,val
152708,val
152711,val
152716,val
152719,val
152725,val
152727,val
152732,val
152734,val
152738,val
152745,val
152748,val
152751,val
152757,val
152761,val
152762,val
152767,val
152770,val
152774,val
152779,val
152784,val
152789,val
152793,val
152797,val
152799,val
152805,val
152806,val
152810,val
152814,val
152821,val
152825,val
204964,train
204966,train
204968,train
204971,train
204973,train
204975,train
204977,train
204978,train
204981,train
204983,train
204984,train
204987,train
204988,train
204990,train
204993,train
204995,train
15149,train
15154,train
66773,train
66779,train
66781,train
66786,train
79573,train
79576,train
79579,train
129317,val
129318,val
129325,val
48037,train
48042,train
48045,train
48050,train
144113,train
144115,train
144118,train
158258,train
158265,train
158269,train
77582,train
77588,train
77592,train
77595,train
77599,train
77602,train
156317,train
156318,train
156323,train
156329,train
156330,train
156334,train
156341,train
115864,train
66047,train
29455,val
178154,train
65927,train
178207,train
128259,val
78845,train
66252,val
78753,train
128587,train
116056,train
66172,val
65950,train
66007,train
128406,train
128628,train
78680,train
66300,val
78974,train
116005,train
79049,val
66139,val
178100,train
66128,val
66271,val
66228,train
128442,val
66118,train
78785,train
128399,val
66017,train
116068,train
128367,val
66164,train
78764,train
143327,val
66225,train
78757,train
143377,train
46864,train
46870,train
46874,train
46878,train
46879,train
46883,train
46887,train
46892,train
46895,train
46900,train
46905,train
46909,train
46911,train
46915,train
46921,train
46926,train
46929,train
46934,train
46938,train
46941,train
46945,train
46949,train
46954,train
46957,train
46960,train
46963,train
46969,train
46972,train
46976,train
46982,train
46986,train
46990,train
46993,train
46998,train
46999,train
47003,train
47007,train
47012,train
47018,train
47022,train
47026,train
47028,train
47033,train
47037,train
47040,train
47044,train
47047,train
47051,train
47056,train
47060,train
47064,train
47067,train
47071,train
47077,train
47082,train
47084,val
47085,train
47087,train
47090,val
47092,val
47094,train
47097,val
47098,train
47099,val
47100,train
47103,train
47104,val
47108,val
47109,train
47112,val
47113,train
47116,val
47117,train
47120,val
47121,train
47123,train
47124,val
47127,val
47132,val
47135,val
47141,val
47144,val
47148,val
47153,val
47157,val
47161,val
47163,val
47170,val
47174,val
47177,val
47182,val
47184,val
47190,val
47194,val
47198,val
47201,val
47203,val
47207,val
47212,val
47216,val
47220,val
47223,val
47228,val
47231,val
47236,val
47242,val
47246,val
47250,val
47251,val
47255,val
47259,val
47265,val
47269,val
47273,val
47276,val
47279,val
47284,val
47289,val
47292,val
47296,val
47300,val
47304,val
47307,val
47312,val
47316,val
47320,val
47323,val
47342,val
47346,val
47350,val
47351,val
47356,val
47362,val
47365,val
47368,val
47373,val
47377,val
47380,val
47383,val
47389,val
47394,val
47395,val
47399,val
47404,val
47408,val
47412,val
47418,val
47422,val
47423,val
47427,val
143481,train
143485,train
157556,train
157560,train
157562,train
157567,train
157572,train
157575,train
157578,train
157584,train
157588,train
157591,train
157595,val
157597,train
157598,val
157601,train
157602,val
157605,train
157607,train
157608,val
157610,train
157612,val
157614,train
157615,val
157618,train
157620,train
157622,train
157623,train
157628,train
157629,train
157630,train
157631,train
157634,train
157637,train
157638,train
157639,train
157642,train
157645,train
157646,train
157649,train
157652,train
157653,train
157654,train
157657,train
157659,train
157660,train
157662,train
157663,train
157666,train
157667,train
157672,train
157673,train
157676,train
157677,train
157680,train
157681,train
157684,train
157685,train
157688,train
157689,train
157690,train
157693,train
157695,train
157696,train
157698,train
157699,train
157703,train
157704,train
157706,train
157708,train
157710,train
157712,train
157715,train
157716,train
157718,train
157719,train
157724,train
157725,train
157727,train
157728,train
157732,train
157733,train
157734,train
157735,train
157738,train
157740,train
157742,train
157744,train
157746,train
157747,train
157750,train
157752,train
157754,train
157755,train
157758,train
157761,train
157762,train
157764,train
157767,train
157768,train
157771,train
157773,train
157775,train
157777,train
157780,train
157781,train
157782,train
157784,train
157787,train
157788,train
157791,train
157792,train
157796,train
157797,train
157800,train
157801,train
157804,train
157805,train
157806,train
157808,train
157813,train
157816,train
157820,train
157824,train
157828,train
157833,train
157835,train
157839,train
157842,train
157846,train
157851,train
157857,train
157859,train
157862,train
157866,train
157870,train
206649,train
206651,train
206652,train
206655,train
206657,train
206659,train
206660,train
206663,train
206665,train
206666,train
206669,train
206671,train
206673,train
206675,train
206677,train
206679,train
206681,train
206682,train
206684,train
206686,train
206688,train
206690,train
206693,train
206694,train
206696,train
206698,train
206701,train
206703,train
206704,train
206707,train
206709,train
206711,train
206713,train
206715,train
206717,train
206719,train
206721,train
206723,train
206724,train
206726,train
206729,train
206730,train
206733,train
206734,train
206736,train
206739,train
206740,train
206743,train
206744,train
206747,train
206748,train
206751,train
206752,train
206754,train
206756,train
206758,train
206760,train
206763,train
206765,train
206767,train
206768,train
206770,train
206772,train
206775,train
206777,train
206778,train
206781,train
206783,train
206785,train
206786,train
206799,train
206801,train
206803,train
206804,train
206807,train
206808,train
206811,train
206812,train
206814,train
206816,train
206819,train
206820,train
206823,train
13646,train
13667,train
13643,train
13588,train
13614,train
193743,val
78533,val
65598,val
13603,train
78529,val
90635,val
13660,train
13573,train
13630,train
193741,val
13652,train
65605,val
13638,train
13598,train
90638,val
13594,train
65610,val
90626,val
13620,train
193733,val
65600,val
13582,train
13634,train
193734,val
13608,train
193737,val
78535,val
13674,train
13657,train
65615,val
193738,val
90628,val
13678,train
13605,train
115544,train
46554,val
46558,val
46561,val
46564,val
102835,train
102839,train
102845,train
102847,train
102851,train
206474,train
206477,train
206479,train
206480,train
206483,train
206484,train
206486,train
206489,train
193773,val
78240,train
128218,val
115573,train
170053,val
143096,train
29340,val
115308,train
65858,val
143087,train
128180,val
78095,train
170022,val
178056,train
128151,train
115282,train
142915,train
65873,val
169932,val
78453,train
65739,val
193722,val
78295,train
90643,val
127839,train
65882,train
142900,val
115294,train
90405,val
65584,train
127741,train
65920,val
78252,train
143225,train
78648,train
143033,train
65721,val
13738,train
128164,train
66010,val
46089,train
46093,train
46095,train
46102,train
46103,train
46107,train
46114,train
46118,train
46122,train
46123,val
46124,train
46129,val
46130,train
46131,val
46133,train
46137,val
46138,train
46141,val
46142,train
46143,train
46144,val
46147,train
46150,val
46151,val
46152,train
46155,train
46158,val
46160,train
46162,val
46164,val
46165,train
46167,val
46168,train
46171,val
46174,train
46177,train
46178,val
46180,train
46181,val
46183,train
46186,val
46187,train
46190,val
46193,train
46194,val
46196,val
46198,train
46200,val
46201,train
46204,val
46205,train
46207,val
46208,train
46212,val
46213,train
46216,val
46218,train
46219,val
46221,train
46223,train
46225,val
46229,train
46230,val
46231,train
46234,val
46236,train
46238,val
46239,train
46241,val
46243,val
46244,train
46247,train
46249,val
46251,val
46252,train
46255,val
46256,train
46259,val
46261,train
46263,train
46265,val
46268,val
46269,train
46271,train
46274,val
46275,val
46276,train
46279,val
46281,train
46283,val
46286,train
46288,val
46290,train
46292,val
46293,train
46297,train
46298,val
46300,val
46302,train
46303,train
46306,val
46309,train
46310,val
46311,train
46314,val
46315,val
46316,train
46319,train
46320,val
46324,train
46325,val
46327,val
46328,train
46332,train
46334,val
46335,train
46338,val
46339,val
46342,train
46344,val
46346,train
46348,train
46350,val
46352,train
46354,val
46355,train
46356,val
46359,train
46362,val
46364,train
46365,val
46367,val
46368,train
46371,train
46374,val
46375,train
46378,val
46379,train
46380,val
46383,train
46385,val
46388,train
46389,val
46392,val
46393,train
46395,train
46398,val
46400,val
46402,train
46403,val
46406,train
46409,train
46410,val
46412,train
46413,val
46416,train
46417,val
46421,val
46422,train
46423,val
46425,train
46429,val
46430,train
46432,train
46434,val
46436,train
46438,val
46441,val
46442,train
46444,train
46445,val
46447,val
46448,train
46452,val
46453,train
46455,train
46456,val
46461,train
46462,val
46463,train
46464,val
46467,val
46469,train
46473,train
46474,val
46476,val
46478,train
46480,val
46481,train
46483,val
46486,train
46487,val
46489,train
46492,train
46493,val
46495,train
46497,val
46499,train
46501,val
46503,train
46506,val
46508,val
46510,train
46512,val
46513,train
46515,train
46517,val
46519,train
46522,val
46525,val
46526,train
46528,train
46530,val
46532,val
46536,val
46540,train
46542,val
46543,val
46545,train
46548,val
46557,train
46560,train
46563,train
46567,val
46568,train
46572,train
46574,val
46575,val
46577,train
46579,val
46580,train
46583,val
46586,train
46588,val
46590,train
46592,val
46593,train
46595,train
46598,val
46600,train
46602,val
46603,val
46605,train
46609,train
46610,val
46613,val
46614,train
46615,val
46618,train
46621,train
46622,val
46623,val
46626,train
46627,val
46628,train
46631,train
46633,val
46636,val
46637,train
46641,train
46642,val
46645,val
46646,train
46649,val
46650,train
46651,train
46653,val
46655,train
46658,val
46659,train
46662,val
46663,train
46664,val
46669,val
46670,train
46673,train
46674,val
46675,train
46678,val
46681,train
46682,val
46683,train
46686,val
46687,train
46689,val
46693,train
46694,val
46696,val
46697,train
46699,train
46701,val
46704,train
46705,val
46707,train
46708,val
46711,train
46712,val
46717,val
46718,train
46720,train
46722,val
46723,train
46725,val
46729,val
46730,train
46732,val
46733,train
46735,val
46736,train
46741,train
46742,val
46745,val
46746,train
46747,train
46750,val
46751,val
46754,train
46757,val
46758,train
46759,val
46760,train
46764,train
46766,val
46768,val
46769,train
46771,val
46773,train
46776,val
46778,train
46779,val
46782,train
46783,val
46786,train
46787,val
46789,train
46791,train
46792,val
46796,val
46798,train
46801,train
46802,val
46804,val
46805,train
46807,train
46808,val
46812,train
46813,val
46815,val
46817,train
46820,train
46822,val
46824,train
46826,val
46829,train
46830,val
46832,train
46834,val
46836,val
46838,train
46840,train
46841,val
46844,val
46846,train
46848,val
46850,train
46852,train
46853,val
46855,val
46856,train
46860,val
46861,train
46863,val
46869,val
46873,val
46877,val
46882,val
46886,val
46889,val
46893,val
46897,val
46901,val
46904,val
46907,val
46912,val
46916,val
46922,val
46925,val
46928,val
46933,val
46935,val
46939,val
46944,val
46948,val
46953,val
46956,val
46959,val
46964,val
46967,val
46973,val
46977,val
46981,val
46985,val
46989,val
46992,val
46995,val
47001,val
47006,val
47009,val
47013,val
47016,val
47020,val
47024,val
47027,val
47034,val
47038,val
47041,val
47045,val
47049,val
47053,val
47058,val
47061,val
47065,val
47068,val
47072,val
47075,val
47080,val
102594,train
102599,train
102605,train
102608,train
102610,train
102615,train
102618,train
102625,train
102627,train
102630,train
102637,train
102638,train
102642,train
102646,train
102652,train
102657,train
102660,train
102662,train
102666,train
102672,train
102677,train
102679,train
102682,train
102687,train
102691,train
102694,train
102699,train
102704,train
102707,train
102712,train
102717,train
102719,train
102723,train
102726,train
102732,train
102734,train
102740,train
102742,train
102746,train
102750,train
102757,train
102760,train
102765,train
102767,train
102770,train
102777,train
102781,train
102782,train
102789,train
102793,train
102796,train
102799,train
102804,train
102809,train
102810,train
102815,train
102819,train
102825,train
102826,train
102832,train
102854,train
102859,train
102863,train
102866,train
102873,train
102876,train
102879,train
102884,train
102886,train
102890,train
102894,train
102899,train
102903,train
102909,train
102911,train
102915,train
102921,train
102924,train
102928,train
102930,train
102936,train
102940,train
102945,train
102947,train
102950,train
102956,train
102959,train
102964,train
102966,train
102972,train
102976,train
102978,train
102983,train
102988,train
102993,train
102995,train
103000,train
103004,train
103006,train
103011,train
103016,train
103018,train
103025,train
103027,train
103032,train
103037,train
103041,train
103042,train
103048,train
103050,train
103055,train
103060,train
103063,train
103068,train
103071,train
103077,train
103078,train
103083,train
156890,train
156897,train
156899,train
156904,train
156906,val
156909,train
156911,val
156913,train
156914,train
156915,val
156919,train
156920,val
156924,train
156925,val
156926,train
156929,val
156930,val
