device,operator,period,gap_len,lat_mid,lon_mid,sess_boundary,type_a,recurs_vehicles,type_b,gap_type,matches_typeb
pc3,2,train,4,52.514340833333335,13.347934583333334,False,False,1,True,TypeB,
pc3,2,train,2,52.51429916666666,13.3476,False,False,1,True,TypeB,
pc3,2,train,2,52.51434166666667,13.348283333333335,False,False,1,True,TypeB,
pc4,1,train,9,52.50009166666667,13.32470851851852,False,False,0,False,Ambiguous,
pc4,1,train,26,52.516133269230764,13.325074615384615,True,True,2,False,TypeA,
pc4,1,train,5,52.51492333333333,13.358243333333334,True,True,0,False,TypeA,
pc1,1,val,5,52.49898499999999,13.307804999999998,False,False,0,False,Ambiguous,False
pc1,1,val,6,52.50607416666667,13.28294222222222,False,False,0,False,Ambiguous,False
pc2,2,val,80,52.51426695833334,13.347181541666668,False,False,1,True,TypeB,True
pc3,2,val,1,52.51434,13.347628333333333,False,False,1,True,TypeB,True
pc3,2,val,4,52.514376666666664,13.34811375,False,False,1,True,TypeB,True
pc3,2,val,3,52.51439666666666,13.348472222222222,False,False,1,True,TypeB,True
pc3,2,val,1,52.51432333333333,13.348813333333334,False,False,0,False,Ambiguous,True
pc3,2,val,1,52.513945,13.34971,False,False,0,False,Ambiguous,True
pc3,2,val,1,52.514271666666666,13.346421666666666,False,False,1,True,TypeB,False
pc3,2,val,1,52.514305,13.346933333333332,False,False,1,True,TypeB,False
pc3,2,val,1,52.514325,13.347233333333334,False,False,1,True,TypeB,True
pc3,2,val,1,52.514385,13.347981666666668,False,False,1,True,TypeB,True
pc3,2,val,3,52.51441722222222,13.348467222222224,False,False,1,True,TypeB,True
pc3,2,val,2,52.51437583333333,13.348366666666667,False,False,1,True,TypeB,True
pc3,2,val,1,52.51434,13.348098333333333,False,False,1,True,TypeB,True
pc3,2,val,1,52.514363333333336,13.348451666666667,False,False,1,True,TypeB,True
pc3,2,val,1,52.514253333333336,13.346678333333331,False,False,1,True,TypeB,False
pc3,2,val,2,52.51435166666667,13.348086666666667,False,False,1,True,TypeB,True
pc3,2,val,1,52.51436833333333,13.348323333333331,False,False,1,True,TypeB,True
pc3,2,val,19,52.51131710526315,13.302375877192981,True,True,0,False,TypeA,False
