cell_id,n_obs,wcl_lat,wcl_lon,n_localization,n_validation
3684372,884,52.512425996623904,13.320358455798779,530,354
3428106,869,52.49442373434368,13.287194196700293,521,348
51629575,864,52.499983153171435,13.323919623081807,518,346
3301907,791,52.50990102129689,13.358924318511082,475,316
2580500,762,52.51145669840957,13.30471848146795,457,305
3286541,758,52.500497960558704,13.330132314065066,455,303
4078356,717,52.50667997594486,13.345766824650582,430,287
51447562,695,52.51450646832208,13.32281088146122,417,278
3301898,689,52.51358285174674,13.348725093237306,413,276
4051727,688,52.49674290678761,13.305569318944173,413,275
3430163,681,52.51311237083379,13.330256308226833,409,272
2824467,644,52.4996270186936,13.317742316740242,386,258
3286536,630,52.50056772633129,13.330742139100412,378,252
3282957,630,52.51052358680029,13.290854692027708,378,252
51629589,615,52.50009674784161,13.325184160643024,369,246
3430149,614,52.51329945972771,13.33177171662887,368,246
2568981,599,52.49216363452214,13.308384592749531,359,240
4000020,587,52.514738689540714,13.354287951580694,352,235
2837268,586,52.5032794166972,13.334492061854737,352,234
4000014,570,52.51474765018945,13.354545307580464,342,228
3428117,532,52.49434206903455,13.28750033662864,319,213
51629588,501,52.50018181616912,13.326276013527647,301,200
3725845,498,52.513768278571526,13.37701854529844,299,199
51709193,494,52.51410723134899,13.377233585087591,296,198
3952916,492,52.49083847387113,13.304639747339058,295,197
3286547,486,52.50055876580553,13.330789028750239,292,194
2828051,483,52.51227717137157,13.317340939700323,290,193
51709204,465,52.513993672579566,13.37725041269779,279,186
2837267,458,52.504359410251745,13.335797929381618,275,183
2826246,448,52.48844846337463,13.302385187045893,269,179
51708426,430,52.51423617443732,13.377213572659937,258,172
3556102,419,52.51242636475634,13.319865723477692,251,168
2918925,418,52.512312891125696,13.321606514470597,251,167
51629574,414,52.5001568652376,13.325903887518322,248,166
51842565,372,52.51357384141183,13.335745620317535,223,149
2838792,357,52.5109287954512,13.362292317455477,214,143
4002324,347,52.514694235899285,13.377324732925098,208,139
3996436,342,52.516118745692815,13.376166776181439,205,137
51447572,333,52.513921636666474,13.329306459721302,200,133
2828806,287,52.51091572482965,13.297140444990541,172,115
4000015,280,52.51457586765365,13.35202369991194,168,112
4000013,279,52.51494972403014,13.357584136564723,167,112
3282963,277,52.510517683572836,13.290731570202796,166,111
3996435,259,52.51614655683841,13.37647761604026,155,104
3950085,257,52.47209759437483,13.240043298641579,154,103
3996947,226,52.515944957157274,13.373950054521327,136,90
4000021,223,52.51459028031861,13.352060052503408,134,89
51447566,221,52.515898871388906,13.326211434554509,133,88
2828565,190,52.51167638004645,13.30813548068496,114,76
2837263,189,52.50132046532687,13.332364264498937,113,76
3952902,177,52.49111584218992,13.304697062209703,106,71
51842579,168,52.513424378791605,13.335446761986738,101,67
2838294,165,52.51764482438717,13.36342296351861,99,66
2832398,162,52.51397050267398,13.377241290100418,97,65
2818314,158,52.495210334014786,13.268011431993813,95,63
3996948,156,52.515935072312914,13.373484839098195,94,62
2835207,152,52.486797611608274,13.257775256131467,91,61
3998485,147,52.51510338507714,13.359875023759875,88,59
3996949,143,52.51581807289208,13.371358842398806,86,57
3952905,138,52.49080885203714,13.304609320035537,83,55
2829829,131,52.513917419303894,13.350260214023397,79,52
3283205,130,52.50954747763428,13.282171733007978,78,52
3998478,113,52.51525910642028,13.36259967135616,68,45
2837262,106,52.50269411196902,13.333948771005879,64,42
3997715,104,52.51578024623096,13.370696328457688,62,42
3998477,92,52.51542933887683,13.365268909851947,55,37
3998483,89,52.51545139400824,13.365356890693423,53,36
4051725,88,52.49794064330604,13.307508277381622,53,35
3998484,88,52.5152785521974,13.362646358460582,53,35
2826245,88,52.49021418278755,13.297326030799303,53,35
2835205,86,52.49037044554676,13.26235279367347,52,34
2568967,83,52.49207949045462,13.304752255261771,50,33
4000019,75,52.51494505623024,13.357414994946216,45,30
3997716,73,52.51562849572713,13.368217462235116,44,29
2940687,72,52.50440947520641,13.335796800053366,43,29
3499533,71,52.51199979444168,13.29148086941787,43,28
2829830,68,52.51392373674819,13.350264345835845,41,27
2948878,67,52.499000982766134,13.278366090953426,40,27
3950087,64,52.46938772616829,13.237044132226888,38,26
2838542,63,52.51379715290047,13.340737779881273,38,25
2843423,61,52.513734454714815,13.351035182575965,37,24
30829826,60,52.51434224315447,13.348502935164102,36,24
2829843,58,52.51387635589964,13.350189727443523,35,23
3283219,57,52.50952439480021,13.282036408806155,34,23
2838293,57,52.515568155456855,13.367319248904105,34,23
30829824,53,52.5143140447816,13.348630336731768,32,21
3499539,53,52.513005268444466,13.288170264473838,32,21
51839253,48,52.51390231835833,13.350154732520325,29,19
2838288,45,52.51716620932118,13.357860291657186,27,18
2568979,41,52.494242881138575,13.309359131089957,25,16
51480339,40,52.51433916440465,13.347819950599652,24,16
3996943,39,52.515779086624455,13.371186907217535,23,16
3502355,37,52.50995347470182,13.282975394438546,22,15
3952917,37,52.49243538487737,13.304773393973639,22,15
3997710,36,52.51565455436841,13.368236073139688,22,14
2826259,33,52.48855252186084,13.304139257573194,20,13
4001555,29,52.5155726395257,13.377392738977838,17,12
3997711,28,52.515613664728455,13.367865195823446,17,11
3996942,27,52.51594518630184,13.373503400819942,16,11
2838279,27,52.515551140986815,13.367093679075403,16,11
3289863,27,52.50325133619672,13.281899850127838,16,11
2828809,26,52.51093618443877,13.297396570321668,16,10
2568969,25,52.494477214097515,13.314546242360807,15,10
43164180,25,52.50302753767475,13.334002934206138,15,10
3996429,23,52.516132994821035,13.376459201639847,14,9
3997717,22,52.515612110821905,13.367974075837422,13,9
3997709,21,52.515766619295285,13.37069356321094,13,8
51447567,20,52.51267526518654,13.324159555879023,12,8
3952901,20,52.49368525571458,13.304732023611068,12,8
51878154,19,52.51656336651275,13.353987689013397,11,8
51447573,18,52.51664886643431,13.324224086701664,11,7
3996941,17,52.51598026502057,13.373966210994421,10,7
51708437,16,52.51324282619097,13.376926297666378,10,6
4051732,16,52.49678063833086,13.308042982996337,10,6
30829312,15,52.51441359827846,13.351502974476915,9,6
3952915,13,52.492445291326696,13.304738734645248,8,5
2828810,12,52.510776735898,13.29494178621091,7,5
4002325,12,52.514419790045885,13.377343257252836,7,5
2568966,11,52.48884705913981,13.306094812848135,7,4
53102857,11,52.517056180993734,13.358377565345982,7,4
3289866,10,52.50323136471301,13.281887714744652,6,4
51839251,10,52.5138756726848,13.35004570120816,6,4
53102854,10,52.51694883919819,13.356524352483234,6,4
30829314,9,52.51442872455989,13.351439553983694,5,4
3288852,8,52.5166485329276,13.35665621054125,5,3
4002318,7,52.51462489203762,13.37734025863921,4,3
2568714,5,52.51278108444138,13.325313878815399,3,2
