cell_id,n_obs,wcl_lat,wcl_lon,n_localization,n_validation
28792065,557,52.49476387161253,13.313196879300728,334,223
34006528,555,52.51549277440098,13.366380956184267,333,222
26356994,548,52.50318741074258,13.281640604511537,329,219
26359552,508,52.50435116210803,13.336194743768674,305,203
34006785,482,52.515868203622844,13.37256243829845,289,193
34210561,480,52.494463291800294,13.286674083319165,288,192
34006529,475,52.51545260558324,13.365624443391466,285,190
30828289,391,52.51573703784605,13.370375065560593,235,156
33802247,388,52.514086136929905,13.344770058511935,233,155
30828800,381,52.51514472007458,13.36112459578294,229,152
30829314,379,52.514389503798775,13.351575451597512,227,152
34007040,367,52.51602442219342,13.374901988083117,220,147
26917120,356,52.48880970347565,13.307013624777113,214,142
34007041,351,52.51600516375195,13.374465638996584,211,140
33802248,349,52.51336182202725,13.334746715515221,209,140
29127684,343,52.512709491753554,13.322826799225624,206,137
30828803,327,52.515095267823945,13.359636229449869,196,131
26681600,296,52.51491074124676,13.37734505882479,178,118
34006272,293,52.514888827633534,13.356555595703227,176,117
26368257,262,52.4992417166927,13.315875300994952,157,105
34006784,258,52.51590287499653,13.373019616896617,155,103
26367488,256,52.516331667156805,13.325961442661947,154,102
28650244,243,52.49841572940378,13.306818817729317,146,97
26356996,215,52.51265990626037,13.286906026919366,129,86
28650250,205,52.4967992487518,13.305387424684557,123,82
26366722,200,52.49024276302864,13.304563791179202,120,80
34210566,199,52.49541463271523,13.284970390408805,119,80
26363649,186,52.511877156762345,13.311335747538937,112,74
29127685,175,52.51187161845997,13.312426800084852,105,70
28792072,172,52.49466937395266,13.304901034249331,103,69
26370049,171,52.503475862902455,13.279557615232084,103,68
42065154,152,52.51766611963349,13.363173263824066,91,61
26365189,142,52.51076136167574,13.294832628546482,85,57
34768897,139,52.49678696847776,13.305283131482007,83,56
26357760,139,52.512993539362036,13.328571116200788,83,56
29127683,133,52.51460583077691,13.32276084674988,80,53
42445056,125,52.510761055276724,13.289085403167832,75,50
26365188,118,52.51113927052994,13.300552241080357,71,47
30829826,118,52.51435769779919,13.348418062205337,71,47
26695425,110,52.51697091640026,13.35723658676647,66,44
30828288,108,52.515824321482,13.371625994746932,65,43
40812803,103,52.50939419965182,13.281892157805054,62,41
26961922,99,52.48971644105289,13.304522009712962,59,40
40812802,98,52.50759389520688,13.284089671619629,59,39
26363653,98,52.51169216270044,13.308784929608713,59,39
30625794,89,52.50355163281899,13.282167390299929,53,36
40848128,88,52.513568288338284,13.337184329196475,53,35
26349056,85,52.51081123915045,13.369121789902728,51,34
26369029,83,52.510143299495944,13.351183272188111,50,33
26351365,76,52.49955358839105,13.317055287844358,46,30
34006275,69,52.51476127207506,13.355415901441702,41,28
26356992,68,52.51296976088648,13.28659958835844,41,27
26349061,67,52.50998634178105,13.363135269478262,40,27
26367746,63,52.50013410649085,13.325659003084366,38,25
26720001,55,52.504286484551784,13.335795891057106,33,22
26719233,54,52.515811811625646,13.352178168300021,32,22
26360321,51,52.51626886344308,13.325819773767225,31,20
26360322,49,52.51682114363409,13.324455088392138,29,20
26795523,48,52.50059030424054,13.331030566408495,29,19
26947081,48,52.495606665176595,13.305032438054756,29,19
34007042,46,52.516076031966435,13.375009069160564,28,18
30827266,45,52.51595514582411,13.376938877408707,27,18
26607108,45,52.51338506978218,13.377095305497168,27,18
26368260,42,52.49886121307839,13.316439092115386,25,17
26367752,42,52.50015907699983,13.325602239342727,25,17
26720005,40,52.502368224065805,13.333479889738632,24,16
26357763,39,52.513010847521585,13.32952200037992,23,16
26367750,38,52.500284316498686,13.327598086510877,23,15
34006530,35,52.51560079085733,13.367410637419527,21,14
26722817,34,52.51134968286367,13.372060653798325,20,14
33802246,31,52.512675123259505,13.324386226089153,19,12
26353664,29,52.50370864304622,13.337964890856929,17,12
26363652,28,52.51187496928109,13.311528976949784,17,11
26351364,23,52.49992473346615,13.322739545258198,14,9
34006531,22,52.51548344077039,13.365568324540295,13,9
26353152,22,52.51146471393976,13.305168326420533,13,9
28904449,21,52.51003596789553,13.28337859054183,13,8
26351363,19,52.499807640535096,13.320462246899735,11,8
26367490,18,52.5104375547866,13.317460024035194,11,7
26347523,18,52.49991674611632,13.281255831594843,11,7
26353922,13,52.50564278145335,13.280345411534727,8,5
26353154,13,52.50279490881296,13.281337602321226,8,5
40881922,12,52.511814641158836,13.375319809515144,7,5
34006274,12,52.514919362639205,13.35660372618641,7,5
26349059,11,52.510776208591615,13.368548703548086,7,4
42465280,11,52.50141872512936,13.332486721177272,7,4
30828291,10,52.51578344974596,13.37048109999238,6,4
40400128,10,52.51283823771607,13.376972725210068,6,4
34006787,10,52.51591754528675,13.372568413985658,6,4
26356997,8,52.5030228726689,13.281600506426262,5,3
30827267,8,52.51612984612497,13.375848414230559,5,3
26947075,8,52.494710060644685,13.308894106025782,5,3
34006786,7,52.51595585156886,13.373182261905905,4,3
34007043,6,52.51603812580328,13.374506841523173,4,2
26353923,5,52.510473597835,13.29031014048746,3,2
